CasoPeorBurbujaNormal;CasoMedioBurbujaNormal;CasoMejorBurbujaNormal;CasoPeorSeleccionDirectaNormal;CasoMedioSeleccionDirectaNormal;CasoMejorSeleccionDirectaNormal;CasoPeorMezclaNormal;CasoMedioMezclaNormal;CasoMejorMezclaNormal;CasoPeorBurbujaVolatile;CasoMedioBurbujaVolatile;CasoMejorBurbujaVolatile;CasoPeorSeleccionDirectaVolatile;CasoMedioSeleccionDirectaVolatile;CasoMejorSeleccionDirectaVolatile;CasoPeorMezclaVolatile;CasoMedioMezclaVolatile;CasoMejorMezclaVolatile;
    1700;     100;       0;    1600;     100;     100;    3300;       0;       0;    1900;     100;     200;    2300;     100;     400;    3000;     100;       0;
     500;   34500;       0;     700;       0;     100;    4100;     100;     100;     800;     100;     100;     700;     100;       0;    2900;     100;     100;
     500;    4400;       0;     500;       0;     100;    1400;     200;       0;     600;   54000;       0;     400;       0;       0;    1400;     100;     100;
     300;    2700;     100;     300;       0;       0;    1100;     100;     100;     500;    6000;     100;     300;     100;     100;    1100;     100;     100;
     500;     400;       0;     300;       0;       0;    2000;     200;     200;     500;    3500;       0;     400;       0;       0;    1400;     300;     200;
     500;     600;     100;     400;     100;     100;    1400;     200;     200;     700;     800;     100;     400;     100;       0;    1500;     400;     200;
     700;     500;     100;     600;     100;     100;    1700;     300;     300;    1000;     800;     100;     500;     100;       0;    1700;     400;     200;
     900;     700;     100;     600;     100;     100;    1900;     200;     200;    1100;    1100;       0;     600;     100;     100;    2000;     400;     200;
    1100;     900;     200;     700;     100;       0;    2300;     300;     200;    1500;    1400;       0;     800;     100;     100;    2300;    3200;    1300;
    1300;    1000;     200;    1000;     100;     100;    2500;     400;     300;    1500;    1700;     100;     900;     100;     100;    2600;     400;     300;
    1600;    1200;     100;    1100;     100;     100;    2700;     400;     300;    2100;    1900;     100;    1100;     100;     200;    3000;     400;     300;
    1900;    1600;     100;    1200;     100;     100;    6300;    1500;     300;    2400;    2200;     200;    1200;     100;     100;    5500;     400;     300;
    2200;    1800;     200;    1400;     200;     100;    3400;     400;     300;    2600;    2800;     100;    1400;     200;     200;    3400;     500;     400;
    2500;    1800;     200;    1600;     100;     100;    3800;     500;     300;    2900;    3200;     100;    1600;     200;     200;    3800;     500;     300;
    2800;    2900;     200;    1800;     200;     100;    4100;     400;     400;    2900;    3300;     100;    1800;     200;     200;    4100;    1200;    1100;
    3200;    3800;     200;    2000;     200;     200;   13800;     500;     400;    3200;    3500;     100;    2000;     300;     200;   12400;     400;     300;
    3600;    4400;     200;    2300;     300;     100;    6600;    1400;     600;    3600;    4700;     100;    2200;     300;     300;    6900;     700;     600;
    5200;   31600;     300;    5300;     300;     200;    5000;     600;     500;    7800;   41000;     100;    5800;     300;     200;    6400;     700;     500;
    4400;    5200;     300;    2700;     400;     100;    5300;     800;     500;    4500;    5400;     200;    2800;     300;     200;    7100;    1500;    1200;
    4900;    4500;     300;    3000;     400;     200;    5800;     700;     500;    4900;    6000;     200;    3000;     400;     200;    8100;     600;     500;
    5400;    6100;     300;    3300;     500;     200;    6500;    1500;     600;    5400;    6800;     200;    3300;     400;     200;    8200;     800;     700;
    5900;    6700;     300;    3600;     400;     300;    6100;     900;     500;    5900;    7100;     200;    3500;     400;     300;    8500;     800;     500;
    6700;    8900;     400;    4100;     400;     300;    8900;     800;     600;    6900;    9000;     200;    4200;     500;     400;   19700;     800;    1400;
    7000;    7400;     400;    4200;     500;     300;    7900;    1900;     500;    7000;    8100;     200;    4100;     500;     300;    7200;     800;     500;
    7800;    9400;     300;    4500;     500;     300;    7900;    1000;     700;    7700;    9400;     200;    4500;     600;     400;    7300;    1800;     700;
    8500;   10900;     400;    5200;     600;     300;    7600;    1000;     600;    8700;    9800;     300;    5600;     500;     500;   10200;     900;    1300;
    8800;   10000;     400;    5200;     600;     400;   10100;     900;     600;    8900;   10900;     200;    5200;     600;     500;   12000;     900;     500;
    9400;   11800;     500;    5500;     600;     400;    8800;     900;     600;    9500;   12300;     300;    5600;     700;     600;   11700;    1800;    1400;
   10500;   13600;     400;    6300;     700;     400;    9300;    1900;     600;   10500;   13400;     300;    6100;     700;     500;    8800;     900;     700;
   10900;   12900;     500;    6200;     700;     500;    9900;    1000;     700;   10900;   13500;     300;    6200;     700;     500;    9400;    1700;    1400;
   12300;   14100;     400;    7000;     800;     500;   10400;    1700;     700;   11800;   15200;     300;    6900;     800;     700;   10100;     900;     700;
   12300;   14800;     500;    7100;     900;     500;   10000;    1000;     700;   12500;   14600;     300;    7100;     800;     600;   11200;    1700;     600;
   13500;    3700;     500;    7900;     900;     600;   10700;    3500;     800;   13500;   18200;     300;    7800;     900;     700;   14900;    1100;    1600;
   13900;    3900;     500;    7900;    1000;     500;   11400;    1200;     800;   13900;   15500;     300;    7900;    1000;     700;   16500;    1800;     800;
   15000;    4600;     600;    8800;    1000;     600;   11000;    2200;     800;   15000;   21500;     400;    8700;    1000;     700;   14300;    1100;    1700;
   15900;    4200;     600;    9300;    1100;     700;   12000;    1100;     900;   16000;   25400;     500;    9100;    1000;     800;   15800;    2400;     800;
   16500;    4500;     600;    9300;    1100;     700;   13700;    2100;     800;   16600;    4700;     600;    9300;    1200;     900;   12100;    1100;     900;
   17800;    4700;     600;   10200;    1200;     800;   12500;    1100;     800;   17900;    4900;     600;   10000;    1200;     900;   12000;    2000;    3100;
   19600;    4000;     600;   10500;    1200;     700;   14900;    2000;     800;   20400;    5600;     600;   10500;    1200;    1000;   12500;    1100;     800;
   19600;    4500;     800;   11100;    1300;     900;   16600;    2000;     800;   22400;    5300;     400;   11100;    1400;    1100;   13100;    2400;    3100;
   20600;    5500;     700;   11500;    2900;     900;   24700;    1300;    1000;   20500;    5600;     400;   11700;    1400;    1100;   13100;    2100;    1000;
   21400;    5300;     800;   11800;    1400;     900;   13400;    2100;     900;   21100;    5600;     400;   11700;    1400;    1100;   13600;    1300;    1000;
   22600;    5400;     800;   12700;    1500;    1400;   12500;    2000;     900;   22400;    6200;     500;   12600;    1500;    1300;   24100;    2200;    1700;
   27100;    6000;     900;   13800;    1600;    1400;   12200;    1300;    1000;   23500;    6200;     400;   82700;    1600;    1400;   13100;    2200;    1000;
   25400;    6700;     900;   13800;    1600;    1500;   14300;    3200;    1000;   24600;    7900;     500;   20800;    1700;    1400;   12300;    1800;    1000;
   25800;    6500;     900;   14300;    1800;    1500;   13700;    2300;    1000;   31000;    6800;     500;   19200;    1700;    1400;   13900;    2200;    1800;
   26700;    6800;     900;   15400;    2000;    1400;   13500;    1500;     900;   28800;    7300;     500;   21500;    1800;   20700;   13800;    2300;    1900;
   28100;    6400;     800;   15800;    1900;    1200;   14400;    2200;    1100;   28400;    7400;     600;   25400;    1900;    1600;   13700;    5000;    1000;
   29400;    7300;    1000;   16400;    2100;    1200;   15000;    2600;    1200;   29100;    8100;     500;   22100;    1900;    1600;   17900;    1400;    1900;
   30500;    7800;    1000;   17000;    2000;    1300;   16600;    2800;    1100;   30400;    8000;     700;   19200;    2000;    1700;   17400;    2500;    1900;
   31400;    8300;    1100;   17600;    2100;    1300;   15700;    2200;    1100;   31900;    8200;     700;   19900;    2100;    1600;   14500;    2500;    1900;
   33300;    9400;    1100;   18700;    2200;    1400;   15600;    1600;    1100;   33200;    9800;    1000;   23200;    2200;    2100;   15200;    2300;    1800;
   33900;    8700;    1100;   18700;    2200;    1400;   19200;    2500;    1100;   34300;    9400;    1000;   25300;    2300;    1900;   15700;    2400;    1200;
   35700;    9300;    1200;   19600;    2300;    1600;   17900;    2500;    1100;   36100;    9100;    1000;   27200;    2400;    2100;   15400;    1700;    2100;
   36800;    9500;    1100;   20100;    2500;    1600;   17400;    3700;    1200;   36700;    9400;    1000;   29500;    2500;    2000;   16200;    2000;    2300;
   38500;    9900;    1300;   21100;    4000;    1700;   19700;    2600;    1100;   40700;   10400;    1100;   28900;    2500;    2200;   16900;    2500;    2000;
   39900;   11300;    1400;   21500;    2600;    1700;    5700;    2700;    1300;   39700;   11100;    1200;   25900;    2600;    2300;   16300;    2900;    2000;
   40800;    8700;    1400;   23400;    2700;    1800;    2700;    2600;    1200;   40900;   11000;    1200;   32600;    2700;    2400;   17300;    2600;    2000;
   42600;    9300;    1400;   28100;    2900;    1800;    2700;    2700;    1200;   45200;   10700;    1200;   27300;    2900;    2300;   15800;    2700;    2100;
   44100;    6900;    1400;   23900;    2900;    2000;    9000;    2300;    1300;   45100;    9500;    1300;   27000;    2900;    2000;    3800;    2500;    2200;
   46500;    7200;    1600;   25000;    3000;    2900;    3700;    2000;    1300;   47600;    9200;    1300;   28400;    3000;    2600;    8300;    2900;    3700;
